,coefs
type_rarity,2088.2041620163736
1of1_score,-4.8074793753596285
watch_score,-5.659737780064693
background_score,-825.4833365266567
beard_score,2.8969375555216614
chain_score,2.4477268773272014
eyes_score,-18.713624524286747
hat_over_headphones_score,21.16198975086101
hat_under_headphones_score,-2.867070813770484
headphones_score,-1.66149542722183
long_hair_score,-19.36141196877092
mouth_score,17.92539518519535
shirt_score,-8.153821279010542
short_hair_score,-4.048178135222086
smoke_score,-2.6544720527901755
type_score,857.6067916306721
rarity_score,8.628213101300599
1d_avg_price,-1.1738165994756853e-11
7d_avg_price,-1.0970779840135947e-11
30d_avg_price,6.508571459562518e-12
average_price,-1.4310330698208418e-11
floor_price,-6.093792137562559e-12
last_10_avg,0.5542849870131158
last_10_max,-0.005885902132158185
last_10_min,0.22652179253204227
last_25_avg,0.26526573737771064
last_25_max,-0.015473055946114816
last_25_min,0.10866099000972833
last_sale_price,-139.35961183490454
